obsid|cl1|cl2|T
101073|1.0|4.0|
101204|0.0|4.0|
101241|1.0|4.0|
102015|1.0|4.0|
103088|1.0|4.0|
104043|1.0|4.0|
104142|1.0|4.0|
105009|1.0|4.0|
105199|0.0|4.0|
108177|1.0|4.0|
110154|1.0|4.0|
113154|1.0|4.0|
114076|2.0|4.0|
115127|1.0|4.0|
201001|2.0|4.0|
201156|1.0|4.0|
202159|1.0|4.0|
202184|2.0|4.0|
202244|2.0|4.0|
204066|2.0|4.0|
205250|1.0|4.0|
206031|2.0|4.0|
210166|1.0|4.0|
210216|1.0|4.0|
211078|2.0|4.0|
213144|1.0|0.0|7492.222
214194|0.0|4.0|
214206|0.0|4.0|
215112|2.0|4.0|
215136|0.0|4.0|
216026|2.0|4.0|
301018|2.0|4.0|
301087|2.0|4.0|
302042|2.0|4.0|
303106|2.0|4.0|
304110|1.0|4.0|
306221|2.0|4.0|
307117|2.0|4.0|
309193|1.0|4.0|
313092|0.0|4.0|
314048|2.0|4.0|
401034|0.0|4.0|
401049|2.0|4.0|
401122|1.0|4.0|
401138|0.0|4.0|
401188|1.0|4.0|
402050|1.0|4.0|
402083|2.0|4.0|
402093|1.0|4.0|
402211|2.0|4.0|
403150|1.0|4.0|
403201|2.0|4.0|
403240|1.0|4.0|
405186|2.0|4.0|
406087|1.0|4.0|
407019|2.0|4.0|
409006|1.0|4.0|
409042|2.0|4.0|
410083|2.0|4.0|
410210|1.0|4.0|
410220|2.0|4.0|
411087|1.0|4.0|
411115|2.0|4.0|
412171|2.0|4.0|
413091|1.0|4.0|
413193|2.0|4.0|
414076|2.0|4.0|
415025|0.0|4.0|
415100|2.0|4.0|
415114|2.0|4.0|
415158|0.0|4.0|
416161|1.0|4.0|
416216|1.0|4.0|
501001|0.0|4.0|
501018|1.0|4.0|
501030|0.0|4.0|
501034|0.0|4.0|
501053|0.0|4.0|
501178|1.0|4.0|
502037|2.0|4.0|
502061|0.0|4.0|
502129|1.0|4.0|
502165|0.0|4.0|
502185|2.0|4.0|
502214|0.0|4.0|
502243|0.0|4.0|
503085|1.0|4.0|
503162|1.0|4.0|
504039|1.0|4.0|
504044|1.0|4.0|
504196|2.0|4.0|
504218|1.0|4.0|
505005|0.0|4.0|
505101|1.0|4.0|
505134|2.0|4.0|
506025|2.0|4.0|
507106|2.0|4.0|
507194|2.0|4.0|
509102|1.0|4.0|
509105|2.0|4.0|
509181|0.0|4.0|
509209|1.0|4.0|
510009|1.0|4.0|
510146|1.0|4.0|
511045|0.0|4.0|
511101|2.0|4.0|
511128|2.0|4.0|
512166|2.0|4.0|
513098|0.0|4.0|
513164|1.0|4.0|
513186|0.0|4.0|
513218|2.0|4.0|
513238|2.0|4.0|
514050|1.0|4.0|
514055|2.0|4.0|
515041|0.0|4.0|
515064|2.0|4.0|
515193|1.0|4.0|
515214|0.0|4.0|
515224|2.0|4.0|
515245|0.0|4.0|
516075|2.0|4.0|
516092|1.0|4.0|
516181|2.0|4.0|
516225|1.0|4.0|
601027|1.0|4.0|
602125|2.0|4.0|
602129|1.0|4.0|
604021|1.0|4.0|
604161|1.0|4.0|
605015|1.0|4.0|
605174|1.0|4.0|
607223|2.0|4.0|
609085|1.0|4.0|
610100|2.0|4.0|
611086|1.0|4.0|
613064|1.0|4.0|
613087|2.0|4.0|
613211|1.0|4.0|
614053|1.0|4.0|
614086|0.0|4.0|
614107|1.0|4.0|
614166|2.0|4.0|
615045|1.0|4.0|
616123|1.0|4.0|
616133|2.0|4.0|
701060|1.0|4.0|
702122|2.0|4.0|
702245|1.0|4.0|
705099|1.0|4.0|
707014|1.0|4.0|
707238|1.0|4.0|
708030|1.0|4.0|
710010|1.0|4.0|
710099|1.0|4.0|
710190|1.0|4.0|
711049|1.0|4.0|
711228|1.0|4.0|
712014|2.0|4.0|
713008|1.0|4.0|
714168|1.0|4.0|
714223|1.0|4.0|
715146|2.0|4.0|
715231|1.0|4.0|
716004|2.0|4.0|
716096|1.0|4.0|
716129|1.0|4.0|
716247|1.0|4.0|
802173|1.0|4.0|
803025|1.0|4.0|
803090|1.0|4.0|
803132|1.0|4.0|
